review_idx,sentiment_label,overall,brand,category,aspect,aspect_sentiment,phrase
37,positive,5.0,Amazon Basics,Cell Phones & Accessories,price_value,positive,big companies such as microsoft and sony will charge you 50 for a 6' long cable
37,positive,5.0,Amazon Basics,Cell Phones & Accessories,screen_display,positive,great video quality too
38,negative,2.0,,,price_value,positive,it was pretty cheap
38,negative,2.0,,,connectivity,negative,i had to get it very close
38,negative,2.0,,,connectivity,negative,it wasn't working good and kept losing the signal
39,positive,5.0,GadgetBRAT,All Electronics,price_value,positive,good product for the price
39,positive,5.0,GadgetBRAT,All Electronics,build_quality,positive,helps keep the earbuds in place without discomfort
40,negative,1.0,JVC,Home Audio & Theater,build_quality,negative,uncomfortable on my head with no padding
40,negative,1.0,JVC,Home Audio & Theater,sound_audio,neutral,sound was okay nothing amazing
40,negative,1.0,JVC,Home Audio & Theater,delivery,negative,adapter piece shown very clearly didn't arrive
40,negative,1.0,JVC,Home Audio & Theater,design,positive,cord was insanely long
41,positive,5.0,,,design,positive,design of the stand is super sleek and modern
41,positive,5.0,,,sound_audio,positive,didn't expect a thirty dollar headphone stand to have a decent dac
41,positive,5.0,,,performance,positive,works fine for system sounds and the occasional video
41,positive,5.0,,,build_quality,positive,cable management in the back is well thought
43,neutral,3.0,,,performance,positive,easy to setup monitor and make setup changes to the router
43,neutral,3.0,,,connectivity,negative,range not as great as advertised
43,neutral,3.0,,,connectivity,negative,signal very week despite different locations
43,neutral,3.0,,,performance,negative,advertise for medium to large homes
44,negative,1.0,,,build_quality,negative,feels like we could snap it in half
44,negative,1.0,,,build_quality,negative,provides zero protection
44,negative,1.0,,,build_quality,negative,it is not rubberized it's plastic
44,negative,1.0,,,design,positive,if you want to just change the color
45,positive,5.0,,,connectivity,positive,i refuse to use wifi
45,positive,5.0,,,design,positive,this is perfect for my apartment
47,positive,5.0,,,price_value,positive,hoping to find these cables a bit cheaper
47,positive,5.0,,,build_quality,positive,quality product and well made
47,positive,5.0,,,performance,positive,get years of use from them
49,neutral,3.0,,,design,negative,way too small for my minivan
49,neutral,3.0,,,build_quality,negative,quality seemed okay for what its worth
6,negative,1.0,Western Digital,Computers,performance,negative,i have been very unlucky with wd
8,negative,2.0,,,design,negative,didn't care for the ergo design
29,negative,1.0,Wasabi Power,Camera & Photo,performance,negative,they just started going to crap on their own
42,negative,2.0,,,build_quality,negative,feels extremely cheap
42,negative,2.0,,,design,negative,earbuds are very weird
48,neutral,3.0,Prokit Adhesive,Computers,screen_display,positive,thanks for the pad 2 digitzer sceen
51,neutral,3.0,ENERGY,Home Audio & Theater,sound_audio,negative,it just failed to properly fill the missing low frequencies properly
52,negative,1.0,Logitech,Computers,connectivity,negative,not compatible with our 6300 40 samsung smart tv
52,negative,1.0,Logitech,Computers,customer_service,negative,wanted to charge us before any help
53,negative,2.0,,,sound_audio,positive,sound quality and appearance are both good
53,negative,2.0,,,design,positive,sound quality and appearance are both good
53,negative,2.0,,,connectivity,negative,lack of basic features no on off switch
54,neutral,3.0,,,build_quality,neutral,strap works well the fit for me is not great but ok
54,neutral,3.0,,,build_quality,neutral,the bottom plate fits my camera d3200 just ok
54,neutral,3.0,,,build_quality,negative,i guess that is what you get for a one size fits all
54,neutral,3.0,,,performance,positive,overall i am happy with the performance
54,neutral,3.0,,,price_value,positive,i am happy with the performance for the price i paid
55,neutral,3.0,Creative,All Electronics,sound_audio,positive,the sound card itself is absolutely great
55,neutral,3.0,Creative,All Electronics,software_app,negative,they were a buggy train wreck that caused nothing but problems
56,positive,5.0,Edimax,Computers,performance,positive,works great
56,positive,5.0,Edimax,Computers,connectivity,positive,my internet is strong
56,positive,5.0,Edimax,Computers,performance,positive,easy to set up
57,positive,5.0,,,design,positive,fits the fire like a glove
57,positive,5.0,,,design,neutral,not flashy
57,positive,5.0,,,build_quality,negative,clasp to hold the cover shut
57,positive,5.0,,,build_quality,negative,hard plastic back
57,positive,5.0,,,build_quality,positive,flexible plastic front
57,positive,5.0,,,design,positive,offers good protection
57,positive,5.0,,,design,neutral,no fancy graphics
58,positive,5.0,,,performance,positive,brought my old uniden set back to life
59,neutral,3.0,VIZIO,Home Audio & Theater,battery_life,negative,lasted 3 mos know it is a design flaw
60,neutral,3.0,,,performance,negative,sometimes imprecise
60,neutral,3.0,,,software_app,negative,not compatible with training plans
62,positive,4.0,TOKINA,Camera & Photo,camera,positive,pretty decent
62,positive,4.0,TOKINA,Camera & Photo,camera,negative,not the best
62,positive,4.0,TOKINA,Camera & Photo,camera,positive,very little distortion
62,positive,4.0,TOKINA,Camera & Photo,build_quality,positive,pretty solid
62,positive,4.0,TOKINA,Camera & Photo,performance,positive,how easily this thing switches
62,positive,4.0,TOKINA,Camera & Photo,design,negative,not being able to use
63,positive,5.0,,,software_app,positive,used this webcam extensively on ubuntu linux 8 04 windows xp the windows 7 beta and the w7 release candidate
63,positive,5.0,,,build_quality,positive,it perches nicely on a laptop screen during use
64,neutral,3.0,SABRE,Tools & Home Improvement,build_quality,negative,poor mounting system
64,neutral,3.0,SABRE,Tools & Home Improvement,battery_life,negative,batteries are claimed to last two to three months
65,positive,5.0,DSTE,All Electronics,battery_life,positive,lasts as long as oem battery
66,positive,5.0,,,connectivity,positive,i use it for my xbone ps4 and wiiu
66,positive,5.0,,,performance,positive,it changes flawlessly
66,positive,5.0,,,software_app,positive,the remote also works as intended
67,negative,2.0,Cable Matters,Computers,performance,negative,this wireless n where my samsung tab and note 4 will pull 60 80mbps on my wifi in the same spot as my pc and my ps4 will pull at least 40
67,negative,2.0,Cable Matters,Computers,performance,negative,this stick will only pull 14mbps tops
67,negative,2.0,Cable Matters,Computers,design,negative,same speeds as this wireless n where my samsung tab and note 4 will pull 60 80mbps
68,negative,1.0,,,performance,negative,this drive is incompatible with windows backup
69,positive,5.0,Apple,Home Audio & Theater,sound_audio,positive,better sound than my first generation nano
69,positive,5.0,Apple,Home Audio & Theater,screen_display,neutral,forward and reverse buttons to work fine
69,positive,5.0,Apple,Home Audio & Theater,performance,positive,it is a good product
71,neutral,3.0,Gosky,Camera & Photo,design,negative,it has sharp edges
71,neutral,3.0,Gosky,Camera & Photo,screen_display,negative,its hard to get your scope pointed at the target
71,neutral,3.0,Gosky,Camera & Photo,design,negative,its weight is at a weird angle
72,neutral,3.0,Dayton Audio,Home Audio & Theater,connectivity,negative,it doesn't come with banana style connections
73,positive,5.0,,,performance,positive,adds 50 more speedy storage
73,positive,5.0,,,build_quality,positive,without adding extra bulk
74,neutral,3.0,iON Camera,Camera & Photo,camera,negative,the rolling shutter effect this camera uses
74,neutral,3.0,iON Camera,Camera & Photo,connectivity,negative,there doesn't seem to be any sort of image stabilization software or optical
75,negative,1.0,ASUS,Computers,connectivity,negative,2 4ghz and 5ghz connection would disappear
75,negative,1.0,ASUS,Computers,performance,negative,wireless connection would work for a while then disappears again
76,neutral,3.0,,,performance,positive,it works as expected
76,neutral,3.0,,,price_value,positive,price is fair enough
77,neutral,3.0,eTopxizu,,price_value,positive,decent cheap power supply
77,neutral,3.0,eTopxizu,,performance,positive,good amount of current up to 20a
77,neutral,3.0,eTopxizu,,performance,negative,cannot actually handle 30a
77,neutral,3.0,eTopxizu,,performance,positive,very little difference under load vs no load
77,neutral,3.0,eTopxizu,,sound_audio,negative,loud fan
78,positive,5.0,Halcyon,Camera & Photo,battery_life,negative,don't seem to be significantly longer lasting
78,positive,5.0,Halcyon,Camera & Photo,price_value,positive,very usable
79,neutral,3.0,,,connectivity,positive,great network both wired and wireless
79,neutral,3.0,,,software_app,positive,web gui is great to use
79,neutral,3.0,,,customer_service,positive,vendor is g
80,negative,1.0,,,performance,negative,card failed after just one use
80,negative,1.0,,,customer_service,positive,update transcend tech support sent me a new one
81,positive,5.0,,,price_value,positive,well worth the money
81,positive,5.0,,,build_quality,positive,fits well
81,positive,5.0,,,screen_display,positive,very pleased to be able to use the touch screen
81,positive,5.0,,,connectivity,negative,head phone jack is a little bit off
82,positive,5.0,,,performance,positive,works great much faster
82,positive,5.0,,,build_quality,positive,simple to swap
82,positive,5.0,,,price_value,positive,price is also good
83,neutral,3.0,,,build_quality,positive,hardware quality of the included hardware is good
83,neutral,3.0,,,build_quality,negative,you will need to buy a resistor assortment
83,neutral,3.0,,,screen_display,negative,you have to get out the little 5watt soldering iron
84,neutral,3.0,,,performance,negative,way too many false positives
85,positive,5.0,Thermaltake,Computers,build_quality,positive,hasn't let me down and will run for decades
86,neutral,3.0,RCA,Home Audio & Theater,performance,negative,it worked much better than this thing did
87,neutral,3.0,,,connectivity,negative,unable to use it sad
88,neutral,3.0,Padded Spaces,Computers,build_quality,neutral,the thing you lay your iphone or ipad on
89,neutral,3.0,,,performance,negative,the motion is not smooth actually quite hard
89,neutral,3.0,,,build_quality,negative,which reflects poorly on the build quality
89,neutral,3.0,,,camera,positive,otherwise nice lens to get play around with
90,negative,2.0,Panasonic,Office Products,sound_audio,negative,cannot hear me very well
90,negative,2.0,Panasonic,Office Products,sound_audio,negative,my voice sounds scratchy
90,negative,2.0,Panasonic,Office Products,performance,negative,mutes the incoming audio
91,positive,5.0,Rocketfish,Camera & Photo,build_quality,positive,the rock is well built
91,positive,5.0,Rocketfish,Camera & Photo,design,negative,the manfrotto topped out at 53 inches and i'm six feet tall
91,positive,5.0,Rocketfish,Camera & Photo,performance,positive,the pan tilt head is very smooth
92,positive,5.0,Roku,All Electronics,performance,positive,this equipment works great for watching netflix
93,negative,1.0,ChannelPlus,All Electronics,connectivity,negative,i try to combine signal from two antennas pointing to two 90 degree separate directions
94,negative,1.0,BOSS Audio Systems,Car Electronics,screen_display,negative,screen lags and is unresponsive
94,negative,1.0,BOSS Audio Systems,Car Electronics,price_value,negative,i spent 110 to get this thing installed
94,negative,1.0,BOSS Audio Systems,Car Electronics,customer_service,positive,outstanding amazon customer service
95,positive,5.0,PEDCO,Sports & Outdoors,design,positive,small easy to pack away lightweight
95,positive,5.0,PEDCO,Sports & Outdoors,build_quality,positive,strong
95,positive,5.0,PEDCO,Sports & Outdoors,camera,positive,incredibly versatile a must have for any camera
96,positive,5.0,Sony,All Electronics,performance,positive,loaded in under 3 seconds after
96,positive,5.0,Sony,All Electronics,screen_display,positive,amazed at the quality of the picture
98,negative,2.0,Fotodiox,Camera & Photo,camera,negative,thought it would but it didn't
100,neutral,3.0,JLab,Home Audio & Theater,sound_audio,positive,noise isolating qualities which is nice
100,neutral,3.0,JLab,Home Audio & Theater,build_quality,neutral,comfort is so so
100,neutral,3.0,JLab,Home Audio & Theater,sound_audio,negative,sound quality is not as good
100,neutral,3.0,JLab,Home Audio & Theater,price_value,negative,i wish i hadn't spent this much money
102,negative,1.0,ABC Products,Camera & Photo,performance,positive,OEM charges faster
102,negative,1.0,ABC Products,Camera & Photo,performance,positive,great for data transfers
102,negative,1.0,ABC Products,Camera & Photo,connectivity,negative,would not install drivers
102,negative,1.0,ABC Products,Camera & Photo,connectivity,positive,OEM did install drivers
103,negative,1.0,Garmin,GPS & Navigation,sound_audio,negative,voice was basically unintelligible
103,negative,1.0,Garmin,GPS & Navigation,customer_service,positive,hassle free exchange
105,positive,5.0,,,performance,positive,does whats needed for our minimal windows server
105,positive,5.0,,,build_quality,positive,great motherboard
106,positive,5.0,ephotoinc,Camera & Photo,performance,positive,it works fine
106,positive,5.0,ephotoinc,Camera & Photo,build_quality,negative,the power cord is a little strange
107,negative,1.0,StarTech,All Electronics,sound_audio,negative,this background noise the moment i put it into the slot
107,negative,1.0,StarTech,All Electronics,sound_audio,negative,this is the worst sound card i've ever encounter
108,positive,4.0,DBPOWER,All Electronics,battery_life,positive,long battery life
109,neutral,3.0,Fintie,Computers,build_quality,negative,foam piece does not remain in place
109,neutral,3.0,Fintie,Computers,build_quality,negative,space bar is nonresponsive
109,neutral,3.0,Fintie,Computers,connectivity,negative,bluetooth does not reconnect automatically
109,neutral,3.0,Fintie,Computers,price_value,positive,price is good
109,neutral,3.0,Fintie,Computers,design,positive,keys beside space bar are nice
109,neutral,3.0,Fintie,Computers,build_quality,positive,does protect the screen when closed
110,positive,5.0,,,price_value,positive,cheap much cheaper than the amazon brand
110,positive,5.0,,,design,positive,looks great
110,positive,5.0,,,design,positive,looks about the same
110,positive,5.0,,,build_quality,negative,was initially hard for me to open
111,negative,1.0,Onkyo,Home Audio & Theater,performance,negative,receiver stopped working
111,negative,1.0,Onkyo,Home Audio & Theater,delivery,negative,instructed by onkyo to take it to an authorized dealer
111,negative,1.0,Onkyo,Home Audio & Theater,customer_service,negative,instructed by onkyo to take it to an authorized dealer
112,neutral,3.0,,,design,negative,handle position that is the biggest draw back
113,positive,5.0,,,performance,positive,it works great
114,positive,4.0,,,connectivity,positive,easy to set up sync with my phone
114,positive,4.0,,,sound_audio,positive,sound is great
114,positive,4.0,,,build_quality,negative,doesn't have an off button
115,positive,5.0,Tontec,Computers,build_quality,positive,precision fit
116,neutral,3.0,,,connectivity,negative,wire grip is tight enough to drag the whole unit
117,positive,5.0,,,build_quality,positive,keys have excellent feel
117,positive,5.0,,,performance,positive,this one macro keys work great
118,positive,5.0,,,price_value,positive,it was affordable
118,positive,5.0,,,connectivity,positive,follow the full usb c specification
119,negative,1.0,LG,Home Audio & Theater,sound_audio,negative,the right side is so weak i can barely get any sound
119,negative,1.0,LG,Home Audio & Theater,performance,negative,i expected a lot better performance
119,negative,1.0,LG,Home Audio & Theater,price_value,negative,the money i paid for this product
120,neutral,3.0,,,design,positive,beautifully designed
120,neutral,3.0,,,sound_audio,negative,not as loud as few reviewers claimed
121,negative,2.0,YONGNUO,Camera & Photo,delivery,negative,it only arrived with 58 not even listed on the product page
121,negative,2.0,YONGNUO,Camera & Photo,screen_display,negative,it's not very bright
121,negative,2.0,YONGNUO,Camera & Photo,performance,negative,but it does
122,negative,1.0,ASUS,Computers,connectivity,negative,didn't work out of the box wasn't recognized by my motherboard
124,positive,5.0,Skinomi,Computers,build_quality,positive,they are strong have a wonderful feel and are self healing
124,positive,5.0,Skinomi,Computers,design,positive,have a wonderful feel
124,positive,5.0,Skinomi,Computers,customer_service,positive,they will replace it almost free of charge
124,positive,5.0,Skinomi,Computers,price_value,positive,all you have to pay is a small s h fee
125,negative,1.0,,,camera,negative,card error with gold 90mb ones super disappointed
126,negative,2.0,,,performance,negative,get extremely hot and then stops working
127,neutral,3.0,Fancierstudio,Camera & Photo,camera,positive,especially if you're traveling with it photographically it's not bad
128,negative,1.0,,,performance,negative,it didn't work for what i used it for
130,negative,2.0,,,build_quality,negative,dividers broke came unglued
130,negative,2.0,,,design,negative,the box is the perfect size
131,positive,5.0,PAPAGO,All Electronics,performance,negative,the suction cup sucks
132,negative,1.0,CyberTech,All Electronics,build_quality,negative,the blinking light is so annoying
132,negative,1.0,CyberTech,All Electronics,connectivity,negative,pair this to multiple devices
133,negative,1.0,Memorex,All Electronics,customer_service,negative,memorex has non existent support
133,negative,1.0,Memorex,All Electronics,performance,negative,player locked up and will not play
134,neutral,3.0,,,performance,positive,works for what i needed it for
134,neutral,3.0,,,build_quality,neutral,quality is about average
134,neutral,3.0,,,connectivity,positive,does have an ac port
134,neutral,3.0,,,connectivity,negative,without that it would only power up 1 usb ssd drive at a time
135,positive,5.0,uxcell,Industrial & Scientific,connectivity,positive,motherboard has only two usb 3.0 ports back
135,positive,5.0,uxcell,Industrial & Scientific,performance,positive,it worked perfectly it was an easy task
136,positive,4.0,,,performance,positive,brings in all the channels without pixelation
136,positive,4.0,,,design,negative,blades on 110v plug are kind of thin
136,positive,4.0,,,customer_service,negative,assembly instructions not great
136,positive,4.0,,,build_quality,positive,everything fit together well
137,positive,5.0,,,design,positive,the case is a nice feature
137,positive,5.0,,,design,negative,you'll have to spend some time figuring out
138,neutral,3.0,,,battery_life,positive,lasted quite a while
138,neutral,3.0,,,build_quality,positive,fairly comfortable
138,neutral,3.0,,,price_value,positive,didn't pay too much
139,positive,5.0,PNY,All Electronics,performance,positive,worked very well for moving files
139,positive,5.0,PNY,All Electronics,performance,negative,higher capacities don't get recognized
139,positive,5.0,PNY,All Electronics,design,positive,handy and compact
140,negative,1.0,Dayton Audio,Home Audio & Theater,sound_audio,negative,could just barely hear sound
141,positive,5.0,,,performance,negative,didn't seem initially that the system was working
141,positive,5.0,,,build_quality,negative,cable is difficult to install requires a strong push
142,negative,2.0,,,performance,negative,started blinking and color was changing
142,negative,2.0,,,camera,negative,camera went out
142,negative,2.0,,,customer_service,negative,seller but to no avail
143,positive,5.0,XShot,Camera & Photo,build_quality,positive,fits nice and firmly on it i don't have to worry about my camera sliding while it's recording
144,neutral,3.0,Mediabridge,Home Audio & Theater,delivery,positive,purchase process was smooth and efficient
145,negative,2.0,,,software_app,negative,too many pre loaded apps
146,neutral,3.0,,,screen_display,negative,screen is already difficult to see
147,negative,1.0,Logitech,All Electronics,battery_life,negative,the battery is not good
148,positive,5.0,Assurant,Camera & Photo,build_quality,positive,it feels nice knowing i can
150,negative,1.0,,,battery_life,negative,the battery started failing
151,negative,1.0,VIZIO,All Electronics,screen_display,positive,great picture
151,negative,1.0,VIZIO,All Electronics,sound_audio,positive,decent sound
151,negative,1.0,VIZIO,All Electronics,performance,negative,totally died
151,negative,1.0,VIZIO,All Electronics,customer_service,negative,trouble shoot it but did not succeed
151,negative,1.0,VIZIO,All Electronics,design,negative,5 inches smaller than the
153,negative,1.0,,,build_quality,negative,the antenna mast flies off of my car
153,negative,1.0,,,build_quality,negative,the mast had broke off at the threads
154,neutral,3.0,acer,Computers,price_value,positive,fair price
154,neutral,3.0,acer,Computers,delivery,positive,delivery fast
154,neutral,3.0,acer,Computers,build_quality,negative,work but not the best
154,neutral,3.0,acer,Computers,customer_service,neutral,the seller isn't at fault
155,negative,2.0,Abco Tech,Home Audio & Theater,build_quality,negative,hurt having it in my ear
155,negative,2.0,Abco Tech,Home Audio & Theater,sound_audio,negative,sound is not clear
156,negative,1.0,SoundPEATS,Cell Phones & Accessories,connectivity,negative,i have pair them every time
157,positive,5.0,Microsoft,Computers,build_quality,positive,lightweight moving it requires minimal effort
157,positive,5.0,Microsoft,Computers,build_quality,positive,scrolls incredibly
157,positive,5.0,Microsoft,Computers,design,negative,i have to hold my hand over the entire mouse
157,positive,5.0,Microsoft,Computers,design,negative,could not locate a button to go forward and backward
158,positive,5.0,,,design,positive,this stylus is very well made
159,positive,5.0,,,design,positive,great reflector and big these are great for reflecting light for a full body shot
160,positive,5.0,JanSport,AMAZON FASHION,build_quality,positive,much better made than his last one
160,positive,5.0,JanSport,AMAZON FASHION,performance,positive,it rolls better and is a lot lighter
160,positive,5.0,JanSport,AMAZON FASHION,customer_service,positive,has a great warranty
161,positive,5.0,,,design,positive,great design
161,positive,5.0,,,sound_audio,positive,pretty loud
161,positive,5.0,,,design,positive,not too bulky
161,positive,5.0,,,battery_life,positive,battery is replaceable
162,negative,1.0,Creative,Computers,performance,negative,product failed to charge
162,negative,1.0,Creative,Computers,connectivity,negative,internet wasn't working
163,negative,2.0,,,build_quality,negative,fit nicely but was somewhat uncomfortable
163,negative,2.0,,,sound_audio,negative,they are super boomy
163,negative,2.0,,,software_app,negative,they also were giving me a software error
164,positive,5.0,,,customer_service,positive,word of mouth rather amazon reviews
164,positive,5.0,,,sound_audio,negative,awkward stutter from my dedicated soundcard
165,positive,4.0,,,performance,positive,seem to work fine
165,positive,4.0,,,price_value,positive,great price
166,negative,1.0,Panasonic,All Electronics,performance,negative,would not recognize either normal dvd's nor blu ray
166,negative,1.0,Panasonic,All Electronics,software_app,negative,upgrade instructions were vague
166,negative,1.0,Panasonic,All Electronics,customer_service,negative,website wasn't much of a help
167,negative,2.0,Logitech,Computers,design,positive,nice case
167,negative,2.0,Logitech,Computers,connectivity,negative,the cutout for the plug is not big enough
168,neutral,3.0,,,price_value,positive,good price
168,neutral,3.0,,,connectivity,negative,pin that plugs into the machine is a little loose fitting
169,positive,4.0,,,build_quality,neutral,well enough made
169,positive,4.0,,,performance,positive,it works
170,positive,5.0,iKross,Computers,connectivity,neutral,usb only
170,positive,5.0,iKross,Computers,performance,positive,works great
170,positive,5.0,iKross,Computers,price_value,positive,you can't beat the price
171,negative,2.0,DMS,Computers,design,negative,it looked and felt even smaller
172,neutral,3.0,SZJMSR,Cell Phones & Accessories,sound_audio,positive,audio quality is good
172,neutral,3.0,SZJMSR,Cell Phones & Accessories,connectivity,negative,this unit has a way of saying 'paired' or 'waiting for pairing'
172,neutral,3.0,SZJMSR,Cell Phones & Accessories,software_app,negative,mine ended up changing the language to japanese
172,neutral,3.0,SZJMSR,Cell Phones & Accessories,battery_life,negative,it loses power periodically
173,neutral,3.0,,,price_value,positive,well worth the 29
173,neutral,3.0,,,design,negative,a bit chunky
173,neutral,3.0,,,build_quality,negative,earpieces are not big enough
174,positive,5.0,DIGIANT,Camera & Photo,build_quality,negative,a little heavy
174,positive,5.0,DIGIANT,Camera & Photo,build_quality,positive,survived a few months
174,positive,5.0,DIGIANT,Camera & Photo,performance,positive,still working like a charm
175,positive,5.0,JJC,Camera & Photo,design,positive,fits perfectly
175,positive,5.0,JJC,Camera & Photo,performance,positive,works great
176,negative,2.0,,,camera,neutral,ok camera at best
176,negative,2.0,,,battery_life,neutral,battery life was ok
176,negative,2.0,,,build_quality,positive,solid feel which were both big pluses
177,neutral,3.0,,,design,negative,this is to small for me
177,neutral,3.0,,,design,positive,it's a very nice backpack
179,negative,2.0,,,design,negative,the shelf is huge and made of glass too heavy
181,neutral,3.0,,,battery_life,positive,improving on battery life
181,neutral,3.0,,,design,neutral,retains the same dimensions
182,positive,5.0,ONME,All Electronics,build_quality,positive,these have been the best
182,positive,5.0,ONME,All Electronics,performance,positive,they work great with hdmi usb
182,positive,5.0,ONME,All Electronics,performance,negative,will not work on larger cables
184,negative,1.0,LG,All Electronics,performance,negative,my item arrived doa
184,negative,1.0,LG,All Electronics,customer_service,negative,this review unfortunately is of lg's customer service department
185,neutral,3.0,SanDisk,Computers,camera,negative,freeze lock ups
186,neutral,3.0,,,design,negative,too big for my taste
187,positive,5.0,,,sound_audio,positive,great sound
187,positive,5.0,,,battery_life,positive,excellent battery life
187,positive,5.0,,,connectivity,positive,easy pairing
187,positive,5.0,,,design,positive,pleasantly comfortable
188,negative,1.0,Sony,All Electronics,screen_display,negative,three years after purchase horizontal lines began to develop
188,negative,1.0,Sony,All Electronics,performance,negative,didn't even last four years
189,negative,2.0,Besteye,Computers,sound_audio,negative,volume switch on the speakers is on the back hard to get to
190,neutral,3.0,Unknown,Toys & Games,build_quality,negative,seemed like a cheap low quality item
191,neutral,3.0,,,price_value,negative,cheap
191,neutral,3.0,,,build_quality,negative,flimsy
