title,brand,category,price,battery_life,build_quality,camera,connectivity,customer_service,delivery,design,performance,price_value,screen_display,software_app,sound_audio,total_mentions,overall_score
BIC America F12 12-Inch 475-Watt Front Firing Powered Subwoofer,BIC,Home Audio & Theater,250.13,0.25,0.333,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.3,,-0.111,0.077,254,-0.196
BIC America F12 12-Inch 475-Watt Front Firing Powered Subwoofer,BIC,Home Audio & Theater,250.13,0.6,0.6,,1.0,1.0,1.0,1.0,1.0,0.333,,1.0,0.4,254,0.793
D-Link Wireless N300 Mbps Extreme-N Gigabit Router (DIR-655),D-Link,All Electronics,14.29,0.0,0.333,1.0,0.222,0.0,-1.0,1.0,0.25,-0.667,,0.5,,232,0.164
D-Link Wireless N300 Mbps Extreme-N Gigabit Router (DIR-655),D-Link,All Electronics,14.29,-1.0,1.0,1.0,-0.077,-1.0,-0.5,1.0,1.0,-1.0,0.0,-0.2,-1.0,232,-0.065
Sony ICF38 Portable AM/FM Radio (Black),Sony,Home Audio & Theater,229.85,1.0,1.0,,1.0,,,1.0,,0.5,,0.333,0.6,215,0.776
Sony ICF38 Portable AM/FM Radio (Black),Sony,Home Audio & Theater,229.85,0.0,-1.0,,,-1.0,,1.0,,0.0,,-0.333,0.286,215,-0.15
"YI Home Camera, Wi-Fi IP Indoor Security System with Motion Detection, Night Vision for Baby / Pet / Front Porch Monitor, Remote Control with iOS, Android, PC App - Cloud Service Available (White)",YI,Tools & Home Improvement,24.99,,1.0,-0.333,0.0,-1.0,,,1.0,1.0,,0.0,,212,0.238
"YI Home Camera, Wi-Fi IP Indoor Security System with Motion Detection, Night Vision for Baby / Pet / Front Porch Monitor, Remote Control with iOS, Android, PC App - Cloud Service Available (White)",YI,Tools & Home Improvement,24.99,-1.0,0.4,0.3,0.2,1.0,,1.0,,0.571,1.0,-0.286,1.0,212,0.419
"Fosmon 3-Port HDMI Switcher, Intelligent 3x1 Auto Switch Selector Support Full HD 3D 1080p HDCP, 3 In 1 Out HDMI Splitter with 24K Gold Plated HDMI Cable for HDTV DVD PS3 PS4 Xbox One Bluray Apple TV",Fosmon,Home Audio & Theater,10.49,-1.0,,-1.0,-1.0,-1.0,-1.0,-0.5,,-0.333,-1.0,-0.5,-1.0,208,-0.833
"Fosmon 3-Port HDMI Switcher, Intelligent 3x1 Auto Switch Selector Support Full HD 3D 1080p HDCP, 3 In 1 Out HDMI Splitter with 24K Gold Plated HDMI Cable for HDTV DVD PS3 PS4 Xbox One Bluray Apple TV",Fosmon,Home Audio & Theater,10.49,0.0,-1.0,-0.333,0.2,-0.5,1.0,-1.0,1.0,-0.333,-1.0,0.0,1.0,208,-0.08
NETGEAR RangeMax Wireless Router (WNR1000-100NAS (G54/N150)),NETGEAR,All Electronics,63.99,,1.0,0.0,-0.25,-1.0,,-1.0,0.0,1.0,,-0.25,,206,-0.062
NETGEAR RangeMax Wireless Router (WNR1000-100NAS (G54/N150)),NETGEAR,All Electronics,63.99,0.0,-1.0,,0.0,0.0,-0.333,1.0,-0.333,0.5,,0.2,,206,0.004
Crucial 2GB Single DDR3/DDR3L 1600 MT/S (PC3-12800) Unbuffered SODIMM 204-Pin Memory - CT25664BF160B,Crucial,Computers,9.99,,0.667,0.2,,0.0,-0.143,-1.0,0.2,0.0,-1.0,0.0,-1.0,205,-0.208
Crucial 2GB Single DDR3/DDR3L 1600 MT/S (PC3-12800) Unbuffered SODIMM 204-Pin Memory - CT25664BF160B,Crucial,Computers,9.99,,1.0,1.0,,-1.0,0.2,1.0,1.0,1.0,,0.6,,205,0.6
"Anker 2.4G Wireless Vertical Ergonomic Optical Mouse, 800 / 1200 /1600 DPI, 5 Buttons for Laptop, Desktop, PC, Macbook - Black",Anker,Computers,18.99,-1.0,-0.1,,-0.5,-0.2,,-0.429,-0.333,-1.0,-1.0,-0.571,,202,-0.57
"Plugable USB Bluetooth 4.0 Low Energy Micro Adapter (Compatible with Windows 11, 10, 8.x, 7, Classic Bluetooth, Gamepad, and Stereo Headset Compatible)",Plugable,Computers,15.95,-1.0,1.0,,0.0,-1.0,,,,0.0,,-0.6,-0.167,202,-0.252
"Plugable USB Bluetooth 4.0 Low Energy Micro Adapter (Compatible with Windows 11, 10, 8.x, 7, Classic Bluetooth, Gamepad, and Stereo Headset Compatible)",Plugable,Computers,15.95,-1.0,-0.333,,0.2,-1.0,-0.333,,,0.2,-1.0,-0.2,1.0,202,-0.274
"Anker 2.4G Wireless Vertical Ergonomic Optical Mouse, 800 / 1200 /1600 DPI, 5 Buttons for Laptop, Desktop, PC, Macbook - Black",Anker,Computers,18.99,-0.333,0.0,-1.0,0.0,0.2,1.0,0.2,0.25,0.2,,0.0,,202,0.052
WD Red 8TB NAS Hard Disk Drive - 5400 RPM Class SATA 6 Gb/s 128MB Cache 3.5 Inch - WD80EFZX,Western Digital,Computers,370.99,,,1.0,,-0.333,0.2,-1.0,1.0,0.5,,0.8,0.0,198,0.271
WD Red 8TB NAS Hard Disk Drive - 5400 RPM Class SATA 6 Gb/s 128MB Cache 3.5 Inch - WD80EFZX,Western Digital,Computers,370.99,,-0.333,,,-1.0,0.0,,1.0,0.0,,0.333,0.0,198,0.0
Sonos Play:1 - Compact Wireless Smart Speaker - White (Discontinued by manufacturer),Sonos,Home Audio & Theater,329.99,,1.0,,0.333,0.0,,1.0,1.0,0.0,,0.25,0.5,192,0.51
Sonos Play:1 - Compact Wireless Smart Speaker - White (Discontinued by manufacturer),Sonos,Home Audio & Theater,329.99,1.0,0.333,,0.0,-1.0,0.0,-0.333,1.0,0.333,,0.0,0.4,192,0.173
TP-Link N300 Wi-Fi Range Extender (TL-WA850RE),TP-Link,Computers,24.4,1.0,-1.0,,0.4,-0.5,,1.0,-1.0,0.5,,0.0,,187,0.05
TP-Link N300 Wi-Fi Range Extender (TL-WA850RE),TP-Link,Computers,24.4,1.0,,1.0,-0.526,-1.0,0.0,1.0,-1.0,-1.0,,-0.625,,187,-0.128
"TP-Link Nano USB Wifi Dongle 150Mbps High Gain Wireless Network Adapter for PC Desktop and Laptops. Supports Win10/8.1/8/7/XP Linux 2.6.18-4.4.3, Mac OS 10.9-10.15 (TL-WN722N)",TP-Link,Computers,19.99,,0.0,1.0,0.125,0.0,0.0,-1.0,-0.5,-0.25,,0.333,,186,-0.032
"TP-Link Nano USB Wifi Dongle 150Mbps High Gain Wireless Network Adapter for PC Desktop and Laptops. Supports Win10/8.1/8/7/XP Linux 2.6.18-4.4.3, Mac OS 10.9-10.15 (TL-WN722N)",TP-Link,Computers,19.99,-1.0,,,0.083,-1.0,,-0.333,0.333,,,-1.0,,186,-0.486
Bose QuietComfort 15 Acoustic Noise Cancelling Headphones (Discontinued by Manufacturer),Bose,Home Audio & Theater,100.0,-1.0,-0.333,,,,-1.0,,-1.0,-0.333,,0.0,0.0,180,-0.524
"Acer C720 Chromebook (11.6-Inch, 2GB) **Discontinued by Manufacturer**",Acer,Computers,97.49,1.0,,1.0,1.0,0.333,,0.0,0.333,0.333,0.0,0.0,,180,0.444
"Acer C720 Chromebook (11.6-Inch, 2GB) **Discontinued by Manufacturer**",Acer,Computers,97.49,1.0,1.0,1.0,1.0,1.0,,1.0,0.5,1.0,1.0,0.5,1.0,180,0.909
Bose QuietComfort 15 Acoustic Noise Cancelling Headphones (Discontinued by Manufacturer),Bose,Home Audio & Theater,114.95,0.0,0.5,,-1.0,-1.0,,-1.0,,-1.0,,-0.25,0.2,180,-0.444
Bose QuietComfort 15 Acoustic Noise Cancelling Headphones (Discontinued by Manufacturer),Bose,Home Audio & Theater,114.95,-0.333,-1.0,,1.0,1.0,-1.0,1.0,-1.0,0.333,,0.0,0.333,180,0.033
Bose QuietComfort 15 Acoustic Noise Cancelling Headphones (Discontinued by Manufacturer),Bose,Home Audio & Theater,100.0,-1.0,-1.0,,,,,,,-1.0,,-1.0,-1.0,180,-1.0
Sony BDP-S5100 3D Blu-ray Disc Player with Wi-Fi (2013 Model),Sony,All Electronics,179.99,,0.0,-1.0,-0.333,-1.0,1.0,0.0,-0.2,0.333,,-0.5,-1.0,179,-0.27
Sony BDP-S5100 3D Blu-ray Disc Player with Wi-Fi (2013 Model),Sony,All Electronics,179.99,,0.0,-0.2,-1.0,-0.5,0.0,0.0,0.0,-0.2,1.0,0.0,0.0,179,-0.082
Sony BDP-S590 3D Blu-ray Disc Player with Wi-Fi (Black) (2012 Model),Sony,All Electronics,179.99,,-1.0,0.0,-0.2,-1.0,1.0,1.0,1.0,1.0,-0.333,-0.2,-1.0,178,0.024
Sony BDP-S590 3D Blu-ray Disc Player with Wi-Fi (Black) (2012 Model),Sony,All Electronics,179.99,,1.0,1.0,1.0,0.6,1.0,1.0,0.5,0.5,1.0,0.667,0.667,178,0.812
Garmin nüvi 255W 4.3-Inch Portable GPS Navigator (Discontinued by Manufacturer),Garmin,Home Audio & Theater,49.95,-1.0,0.0,-1.0,-0.5,0.0,-1.0,0.0,0.0,0.333,0.0,0.182,,177,-0.271
Garmin nüvi 255W 4.3-Inch Portable GPS Navigator (Discontinued by Manufacturer),Garmin,Home Audio & Theater,49.95,-0.333,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.333,-0.5,-0.2,-0.143,,177,-0.44
"Wasabi Power Battery (2-Pack) and Charger for GoPro HERO3+, HERO3 and GoPro AHDBT-201, AHDBT-301, AHDBT-302",Wasabi Power,Camera & Photo,19.99,0.3,0.5,1.0,,,,,,0.143,,1.0,,172,0.589
"Wasabi Power Battery (2-Pack) and Charger for GoPro HERO3+, HERO3 and GoPro AHDBT-201, AHDBT-301, AHDBT-302",Wasabi Power,Camera & Photo,19.99,0.333,1.0,1.0,,,0.0,,1.0,0.5,,0.667,,172,0.643
VideoSecu One Pair of Side Clamping Bookshelf Speaker Mounting Bracket with Swivel and Tilt for Large Surrounding Sound Speakers MS56B 3LH,0296402,Cell Phones & Accessories,29.99,0.0,0.429,,,,1.0,1.0,1.0,1.0,,-1.0,0.818,170,0.531
VideoSecu One Pair of Side Clamping Bookshelf Speaker Mounting Bracket with Swivel and Tilt for Large Surrounding Sound Speakers MS56B 3LH,0296402,Cell Phones & Accessories,29.99,,0.333,0.0,,1.0,0.0,1.0,,1.0,,0.5,0.625,170,0.557
Logitech Harmony 880 Advanced Universal Remote Control (Discontinued by Manufacturer),Logitech,Home Audio & Theater,324.99,-0.333,-1.0,,0.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,169,-0.394
Transcend 128GB MicroSDXC Class10 UHS-1 Memory Card with Adapter 45 MB/s (TS128GUSDU1),Transcend,Computers,18.84,,,0.5,,,1.0,1.0,0.143,1.0,1.0,0.333,,169,0.711
Transcend 128GB MicroSDXC Class10 UHS-1 Memory Card with Adapter 45 MB/s (TS128GUSDU1),Transcend,Computers,18.84,,0.0,-0.5,-1.0,-1.0,-1.0,-1.0,0.0,0.4,,-0.4,,169,-0.5
Logitech Harmony 880 Advanced Universal Remote Control (Discontinued by Manufacturer),Logitech,Home Audio & Theater,324.99,-0.6,,0.333,-1.0,0.333,,0.2,,-0.333,-1.0,0.0,-1.0,169,-0.341
TP-Link TL-WDN4800 N900 Dual Band Wireless PCI Express Adapter with,TP-Link,Computers,111.01,,,1.0,0.091,,,1.0,0.667,0.0,,0.25,,167,0.501
TP-Link TL-WDN4800 N900 Dual Band Wireless PCI Express Adapter with,TP-Link,Computers,111.01,,,,0.444,-1.0,1.0,1.0,0.6,0.333,,0.0,-1.0,167,0.172
Dropcam Wi-fi Wireless Video Monitoring Camera (Only) Black - Pre-Owned,Dropcam,Camera & Photo,169.89,0.0,-0.5,0.667,0.75,-1.0,0.5,1.0,,0.333,0.0,0.25,0.0,165,0.182
"C2G Legrand 3.5mm Male to Female Cable, Stereo Audio Extension Cable, Black Auxillary Port Extension Cable, 5 Foot Audio Extension Cable, 1 Count, C2G 13787",C2G,Home Audio & Theater,5.95,,0.0,,-1.0,-1.0,0.0,-1.0,,-0.333,,0.2,-0.667,165,-0.475
Dropcam Wi-fi Wireless Video Monitoring Camera (Only) Black - Pre-Owned,Dropcam,Camera & Photo,169.89,-1.0,-1.0,-1.0,-1.0,,,,,-1.0,,-1.0,,165,-1.0
"C2G Legrand 3.5mm Male to Female Cable, Stereo Audio Extension Cable, Black Auxillary Port Extension Cable, 5 Foot Audio Extension Cable, 1 Count, C2G 13787",C2G,Home Audio & Theater,5.95,,-0.75,,-0.333,0.0,0.0,-1.0,,-0.5,,-0.333,-0.667,165,-0.448
Logitech Squeezebox Duet Network Music System (Discontinued by Manufacturer),Logitech,Home Audio & Theater,399.99,,0.0,1.0,0.2,0.333,-1.0,0.0,,-1.0,0.0,-0.167,-0.2,164,-0.083
Logitech Squeezebox Duet Network Music System (Discontinued by Manufacturer),Logitech,Home Audio & Theater,399.99,0.0,-1.0,-1.0,-0.6,-0.75,-0.667,,,-1.0,-0.5,-0.8,-1.0,164,-0.732
Dome Dummy Camera with Motion Activated Light,SE,Camera & Photo,9.99,-0.5,-1.0,-0.111,1.0,1.0,-0.5,-1.0,,0.0,,-0.667,,164,-0.198
Dome Dummy Camera with Motion Activated Light,SE,Camera & Photo,9.99,0.0,-1.0,-0.667,,-1.0,-1.0,-0.333,-1.0,-0.333,,-1.0,,164,-0.704
Samsung 32GB BAR (METAL) USB 3.0 Flash Drive (MUF-32BA/AM),SAMSUNG,Computers,58.9,,0.333,,1.0,1.0,1.0,-0.429,-0.143,1.0,,0.25,,163,0.501
"Roku 4 | HD and 4K UHD Streaming Media Player with Enhanced Remote (Voice Search, Lost Remote Finder, and Headphone), Quad-Core Processor, Dual-Band Wi-Fi, Ethernet, and USB Port",Roku,All Electronics,74.95,-1.0,-0.333,0.0,-1.0,-1.0,-1.0,,-0.333,-1.0,-1.0,0.2,0.0,163,-0.588
Samsung 32GB BAR (METAL) USB 3.0 Flash Drive (MUF-32BA/AM),SAMSUNG,Computers,58.9,,1.0,,-1.0,,,0.75,1.0,1.0,,1.0,1.0,163,0.679
"VideoSecu 5 Speaker Wall Ceiling Mount Brackets Black for Home Theater Satellite Speakers 1XZ (Black, 5 Pack)",VideoSecu,All Electronics,18.99,1.0,-0.143,-1.0,-1.0,0.0,,0.5,,-0.5,,1.0,-0.357,163,-0.056
"Roku 4 | HD and 4K UHD Streaming Media Player with Enhanced Remote (Voice Search, Lost Remote Finder, and Headphone), Quad-Core Processor, Dual-Band Wi-Fi, Ethernet, and USB Port",Roku,All Electronics,74.95,0.0,1.0,-0.2,0.6,0.333,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,163,0.478
"VideoSecu 5 Speaker Wall Ceiling Mount Brackets Black for Home Theater Satellite Speakers 1XZ (Black, 5 Pack)",VideoSecu,All Electronics,18.99,,-0.143,-1.0,,-1.0,-1.0,0.0,,0.0,,0.0,0.154,163,-0.374
"Microsoft Sculpt Comfort Mouse - Black. Comfortable design, Customizable Windows Touch Tab, 4-Way Scrolling,Bluetooth Mouse for PC/Laptop/Desktop, works with Mac/Windows Computers",Microsoft,All Electronics,25.97,1.0,,,0.5,,,1.0,,1.0,-1.0,1.0,,162,0.583
"Microsoft Sculpt Comfort Mouse - Black. Comfortable design, Customizable Windows Touch Tab, 4-Way Scrolling,Bluetooth Mouse for PC/Laptop/Desktop, works with Mac/Windows Computers",Microsoft,All Electronics,25.97,1.0,1.0,,0.5,-1.0,1.0,1.0,0.0,,,0.4,,162,0.488
"Microsoft Wireless Mobile Mouse 4000 - Graphite. Comfortable Ergonomic design, Wireless, USB 2.0 with Nano transceiver for PC/Laptop/Desktop, works with Mac/Windows Computers",Microsoft,All Electronics,19.99,-0.5,-0.5,0.0,0.4,1.0,,,-1.0,0.25,,0.5,,160,0.019
"Microsoft Wireless Mobile Mouse 4000 - Graphite. Comfortable Ergonomic design, Wireless, USB 2.0 with Nano transceiver for PC/Laptop/Desktop, works with Mac/Windows Computers",Microsoft,All Electronics,19.99,-0.2,-0.667,,-0.4,,0.333,-1.0,-1.0,1.0,,-0.5,,160,-0.304
Logitech Harmony Smart Control with Smartphone App and Simple All in One Remote - Black,Logitech,Home Audio & Theater,208.0,-1.0,-1.0,-1.0,0.333,0.0,1.0,1.0,1.0,-1.0,,-0.2,1.0,154,0.012
Logitech Harmony Smart Control with Smartphone App and Simple All in One Remote - Black,Logitech,Home Audio & Theater,208.0,1.0,1.0,,0.0,-1.0,0.5,1.0,1.0,1.0,0.0,0.333,-1.0,154,0.348
Medialink Wireless-N Broadband Router with Internal Antenna - 2.4GHz - 802.11b/g/n - Compatible with Windows 8 / Windows 7 / Windows Vista/Windows XP/Mac OS X/Linux (300 Mbps) [Discontinued Model],Medialink,Computers,35.99,,,,0.25,,-1.0,,0.333,,,-0.333,,151,-0.188
ARRIS SURFboard SBG6580 DOCSIS 3.0 Cable Modem/ Wi-Fi N300 2.4Ghz + N300 5GHz Dual Band Router - Retail Packaging Black (570763-006-00),ARRIS,All Electronics,137.77,-0.5,0.0,,-0.5,-0.75,-1.0,-0.667,-0.5,0.0,,-0.833,,151,-0.528
ARRIS SURFboard SBG6580 DOCSIS 3.0 Cable Modem/ Wi-Fi N300 2.4Ghz + N300 5GHz Dual Band Router - Retail Packaging Black (570763-006-00),ARRIS,All Electronics,137.77,-1.0,,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,151,-0.857
Medialink Wireless-N Broadband Router with Internal Antenna - 2.4GHz - 802.11b/g/n - Compatible with Windows 8 / Windows 7 / Windows Vista/Windows XP/Mac OS X/Linux (300 Mbps) [Discontinued Model],Medialink,Computers,35.99,1.0,-0.333,,0.429,-0.333,1.0,0.2,0.5,-0.667,1.0,0.2,,151,0.3
Canon PowerShot A590IS 8MP Digital Camera with 4x Optical Image Stabilized Zoom (OLD MODEL),Canon,Camera & Photo,89.99,0.0,1.0,0.75,,,,1.0,1.0,1.0,-1.0,0.333,1.0,151,0.565
Canon PowerShot A590IS 8MP Digital Camera with 4x Optical Image Stabilized Zoom (OLD MODEL),Canon,Camera & Photo,89.99,-0.333,-0.333,0.0,,,,-1.0,-1.0,0.0,0.0,1.0,,151,-0.208
